Interaction between Indigenous and Official Norms:	126.4000015258789	166.1375732421875	10.03741455078125	237.7517318725586	0	YPWFID+TimesNewRomanPS-BoldMT
Examples of Norm Generation in the Consumer Field in Denmark*	126.6500015258789	177.88604736328125	10.0394287109375	305.8889694213867	0	YPWFID+TimesNewRomanPS-BoldMT
Britt-Mari Blegvad	126.6500015258789	201.78106689453125	9.50811767578125	70.34516143798828	1	SGNNMZ+TimesNewRomanPS-ItalicMT
Zusammenfassung: Anhand von Beispielen aus verschiedenen Poiitikbereichen diskutiert der Arti­	125.45000457763672	262.3663330078125	7.55908203125	341.3474807739258	2	YPWFID+TimesNewRomanPS-BoldMT
kel die Entstehung von verschiedenen Typen von Regeln, die Teil einer speziellen norm-orientierten	125.6500015258789	272.22161865234375	7.50384521484375	340.4739303588867	2	YPWFID+TimesNewRomanPS-BoldMT
Beziehung von Käufern und Verkäufern sind. Normentstehung wird erörtert als Teil der direkten	125.9000015258789	281.82098388671875	7.50469970703125	340.26732635498047	2	YPWFID+TimesNewRomanPS-BoldMT
Sozialbeziehung der Parteien und als Teil des Konfliktbehandlungsprozesses, in dem ein Dritter den	125.6500015258789	291.67041015625	7.50543212890625	340.4240951538086	2	YPWFID+TimesNewRomanPS-BoldMT
Prozeß beeinflussen kann. Die diskutierten Politikbereiche betreffen Parteien, Bürgerinitiativen,	126.1500015258789	301.27081298828125	7.50494384765625	340.66194915771484	2	YPWFID+TimesNewRomanPS-BoldMT
Rechtsanwälte, Gerichte, verschiedene Beschwerdestellen, den Ombudsmann für Verbraucher und	126.4000015258789	310.8682861328125	7.50823974609375	340.35936737060547	2	YPWFID+TimesNewRomanPS-BoldMT
den dänischen Rat für Verbraucherprobleme.	126.1500015258789	320.72235107421875	7.50286865234375	153.86861419677734	2	YPWFID+TimesNewRomanPS-BoldMT
Recht wird als ein Normentyp unter anderen angesehen. Der Artikel handelt speziell von der Inter­	126.4000015258789	330.5710144042969	7.504669189453125	341.59749603271484	2	YPWFID+TimesNewRomanPS-BoldMT
aktion von offiziellen Regelungen und indigenen Regeln, die sich in der Alltagspraxis gebildet ha­	126.1500015258789	340.1704406738281	7.50543212890625	341.84749603271484	2	YPWFID+TimesNewRomanPS-BoldMT
ben. Der Artikel versucht zu zeigen, daß die Verbraucher Schwierigkeiten haben, ihren Problemen	126.1500015258789	350.0218811035156	7.503570556640625	340.8755111694336	2	YPWFID+TimesNewRomanPS-BoldMT
Gehör zu verschaffen. Diese Tatsache hat die Arten der Verbraucher-Normen beeinflußt, die sich	126.1500015258789	359.8209533691406	7.5047607421875	340.8172836303711	2	YPWFID+TimesNewRomanPS-BoldMT
gebildet haben.	126.1500015258789	369.6725158691406	7.502716064453125	51.483238220214844	2	YPWFID+TimesNewRomanPS-BoldMT
Summary: Using examples from different fields I discuss in this paper the generation of different	126.6500015258789	397.712890625	7.562042236328125	340.94063568115234	3	YPWFID+TimesNewRomanPS-BoldMT
types of rules as part of a special norm-oriented relation between seller and consumer Norm gener­	126.8499984741211	407.62109375	7.504608154296875	341.39749908447266	3	YPWFID+TimesNewRomanPS-BoldMT
ation is discussed both as part of a direct social relation of the parties and as part of a dispute	127.0999984741211	417.6683044433594	7.50823974609375	340.2220230102539	3	YPWFID+TimesNewRomanPS-BoldMT
treatment process whereby a third person is introduced. The arenas discussed are the parties,	127.3499984741211	427.5212707519531	7.504364013671875	340.2107620239258	3	YPWFID+TimesNewRomanPS-BoldMT
grassroots groups, lawyers and courts, different types of grievance boards, the Consumer Ombuds­	126.8499984741211	437.3714599609375	7.504119873046875	341.64749908447266	3	YPWFID+TimesNewRomanPS-BoldMT
man and the Danish Consumer Council.	127.0999984741211	447.4197692871094	7.506317138671875	135.20838165283203	3	YPWFID+TimesNewRomanPS-BoldMT
Law is regarded as one type of norm The paper deals in particular with the interaction between	127.3499984741211	457.018310546875	7.50823974609375	339.95911407470703	3	YPWFID+TimesNewRomanPS-BoldMT
official regulations and indigenous norms. The analysis shows that consumers as a group have great	127.3499984741211	466.8708190917969	7.504974365234375	340.1363296508789	3	YPWFID+TimesNewRomanPS-BoldMT
difficulties making their weight feit in the legal System. This fact has influenced the kinds of con­	127.0999984741211	476.720458984375	7.50543212890625	341.39749908447266	3	YPWFID+TimesNewRomanPS-BoldMT
sumer norms which have been developed.	127.0999984741211	486.57098388671875	7.504730224609375	140.8135757446289	3	YPWFID+TimesNewRomanPS-BoldMT
1 General background	126.8499984741211	531.7818603515625	9.50714111328125	90.5613784790039	4	SGNNMZ+TimesNewRomanPS-ItalicMT
Ongoing research both in the US and Europe shows agrowing concern with the inter-	127.5999984741211	555.5113525390625	9.5	340.0616226196289	5	OAGHEI+TimesNewRomanPSMT
play between official norms and other rules and their use in civil dispute Settlement I	127.5999984741211	567.2586669921875	9.529510498046875	339.60718536376953	5	OAGHEI+TimesNewRomanPSMT
think here of the Florence Access-to-Justice Project which began in 1973 and has re-	127.5999984741211	579.0078125	9.5313720703125	340.0856704711914	5	OAGHEI+TimesNewRomanPSMT
sulted in four volumes of reports and papers.1 There is also the Civil Litigation Re­	126.8499984741211	591.0057373046875	9.531997680664062	341.56351470947266	5	OAGHEI+TimesNewRomanPSMT
* The following article is based on a paper prepared for the 1980 Annual Meeting of the Law and	127.3499984741211	615.6682739257812	7.50823974609375	339.8824234008789	6	YPWFID+TimesNewRomanPS-BoldMT
